OSS_ID,ENODEBFUNCTION,EUTRANCELLFDD,YEAR_ID,MONTH_ID,DAY_ID,DATETIME_ID,ADMINISTRATIVESTATE,CELLBARRED,FREQBAND,EARFCNDL,EARFCNUL,DLCHANNELBANDWIDTH,LATITUDE,LONGITUDE
eniq_oss_1,eNB_INC1,INC1_CELL_A,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.70011,-79.416298
eniq_oss_1,eNB_INC1,INC1_CELL_A,2026,6,27,2026-06-27T00:00:00Z,0,1,3,1300,19300,5000,43.70011,-79.416298
eniq_oss_1,eNB_INC1,INC1_CELL_B,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.7011,-79.4152
eniq_oss_1,eNB_INC1,INC1_CELL_C,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,15000,43.6995,-79.417
eniq_oss_1,eNB_INC1,INC1_CELL_D,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,15000,43.702,-79.4145
eniq_oss_1,eNB_INC2,INC2_CELL_B,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,20000,43.642567,-79.387054
eniq_oss_1,eNB_INC2,INC2_CELL_C,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,20000,43.6435,-79.386
eniq_oss_1,eNB_INC2,INC2_CELL_D,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,15000,43.6418,-79.3882
eniq_oss_1,eNB_INC2,INC2_CELL_E,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,15000,43.644,-79.3855
eniq_oss_1,eNB_INC2,INC2_CELL_E,2026,5,10,2026-05-10T00:00:00Z,1,0,2,900,18900,10000,43.644,-79.3855
eniq_oss_1,eNB_INC3,INC3_CELL_C1,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.653226,-79.383184
eniq_oss_1,eNB_INC3,INC3_CELL_C2,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.654,-79.382
eniq_oss_1,eNB_INC3,INC3_CELL_C3,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.6525,-79.384
eniq_oss_1,eNB_INC3,INC3_CELL_C4,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.655,-79.381
eniq_oss_1,eNB_INC3,INC3_CELL_C5,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.6518,-79.385
eniq_oss_1,eNB_INC4,INC4_LTE_ANCHOR,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.67722,-79.347015
eniq_oss_1,eNB_INC4,INC4_CELL_X,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,15000,43.678,-79.346
eniq_oss_1,eNB_INC4,INC4_CELL_Y,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,10000,43.6765,-79.348
eniq_oss_1,eNB_INC5,INC5_CELL_F,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.69,-79.36
eniq_oss_1,eNB_INC5,INC5_CELL_G,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,15000,43.691,-79.359
eniq_oss_1,eNB_INC5,INC5_CELL_H,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,10000,43.689,-79.361
eniq_oss_1,eNB_INC5,INC5_CELL_I,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.692,-79.358
eniq_oss_1,eNB_INC5,INC5_CELL_J,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,20000,43.688,-79.362
eniq_oss_1,eNB_GEN1,GEN1_CELL_A,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.66,-79.37
eniq_oss_1,eNB_GEN1,GEN1_CELL_B,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,15000,43.661,-79.369
eniq_oss_1,eNB_GEN1,GEN1_CELL_C,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,20000,43.659,-79.371
eniq_oss_1,eNB_GEN1,GEN1_CELL_D,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.662,-79.368
eniq_oss_1,eNB_GEN2,GEN2_CELL_A,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,20000,43.62,-79.4
eniq_oss_1,eNB_GEN2,GEN2_CELL_B,2026,4,1,2026-04-01T00:00:00Z,1,0,7,2900,20900,20000,43.621,-79.399
eniq_oss_1,eNB_GEN2,GEN2_CELL_C,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,15000,43.619,-79.401
eniq_oss_1,eNB_GEN2,GEN2_CELL_D,2026,4,1,2026-04-01T00:00:00Z,1,0,2,900,18900,10000,43.622,-79.398
eniq_oss_1,eNB_GEN2,GEN2_CELL_E,2026,4,1,2026-04-01T00:00:00Z,1,0,3,1300,19300,20000,43.618,-79.402
