OSS_ID,NRCellCU,YEAR_ID,MONTH_ID,DAY_ID,PERIOD_DURATION,pmEndcSetupUeSucc,pmEndcSetupUeAtt,pmEndcSetupScgUeSucc,pmEndcSetupScgUeAtt,pmCellDowntimeAuto,pmCellDowntimeMan
eniq_oss_1,INC4_NR_D,2026,4,1,86400,958,979,967,989,0,0
eniq_oss_1,INC4_NR_D,2026,4,2,86400,1014,1026,980,1010,0,0
eniq_oss_1,INC4_NR_D,2026,4,3,86400,993,1034,979,1020,0,0
eniq_oss_1,INC4_NR_D,2026,4,4,86400,1026,1052,1005,1033,0,0
eniq_oss_1,INC4_NR_D,2026,4,5,86400,919,940,931,956,0,0
eniq_oss_1,INC4_NR_D,2026,4,6,86400,930,941,914,949,0,0
eniq_oss_1,INC4_NR_D,2026,4,7,86400,928,966,942,963,0,0
eniq_oss_1,INC4_NR_D,2026,4,8,86400,969,990,973,990,0,0
eniq_oss_1,INC4_NR_D,2026,4,9,86400,958,978,961,971,0,0
eniq_oss_1,INC4_NR_D,2026,4,10,86400,987,1010,963,993,0,0
eniq_oss_1,INC4_NR_D,2026,4,11,86400,960,975,959,972,0,0
eniq_oss_1,INC4_NR_D,2026,4,12,86400,964,986,956,992,0,0
eniq_oss_1,INC4_NR_D,2026,4,13,86400,934,961,931,954,0,0
eniq_oss_1,INC4_NR_D,2026,4,14,86400,937,954,911,940,0,0
eniq_oss_1,INC4_NR_D,2026,4,15,86400,1020,1056,1039,1058,0,0
eniq_oss_1,INC4_NR_D,2026,4,16,86400,940,978,962,995,0,0
eniq_oss_1,INC4_NR_D,2026,4,17,86400,951,988,969,1002,0,0
eniq_oss_1,INC4_NR_D,2026,4,18,86400,933,963,963,977,0,0
eniq_oss_1,INC4_NR_D,2026,4,19,86400,1009,1048,1045,1059,0,0
eniq_oss_1,INC4_NR_D,2026,4,20,86400,1011,1025,1010,1022,0,0
eniq_oss_1,INC4_NR_D,2026,4,21,86400,978,992,980,994,0,0
eniq_oss_1,INC4_NR_D,2026,4,22,86400,965,990,991,1003,0,0
eniq_oss_1,INC4_NR_D,2026,4,23,86400,1034,1047,1020,1048,0,0
eniq_oss_1,INC4_NR_D,2026,4,24,86400,1002,1014,968,997,0,0
eniq_oss_1,INC4_NR_D,2026,4,25,86400,1009,1037,1030,1042,0,0
eniq_oss_1,INC4_NR_D,2026,4,26,86400,937,974,939,971,0,0
eniq_oss_1,INC4_NR_D,2026,4,27,86400,984,1009,989,1024,0,0
eniq_oss_1,INC4_NR_D,2026,4,28,86400,958,996,959,982,0,0
eniq_oss_1,INC4_NR_D,2026,4,29,86400,1006,1045,1024,1055,0,0
eniq_oss_1,INC4_NR_D,2026,4,30,86400,995,1020,991,1005,0,0
eniq_oss_1,INC4_NR_D,2026,5,1,86400,1046,1057,1012,1054,0,0
eniq_oss_1,INC4_NR_D,2026,5,2,86400,961,992,968,991,0,0
eniq_oss_1,INC4_NR_D,2026,5,3,86400,948,986,959,986,0,0
eniq_oss_1,INC4_NR_D,2026,5,4,86400,964,987,992,1006,0,0
eniq_oss_1,INC4_NR_D,2026,5,5,86400,1010,1048,1017,1029,0,0
eniq_oss_1,INC4_NR_D,2026,5,6,86400,1021,1033,1027,1039,0,0
eniq_oss_1,INC4_NR_D,2026,5,7,86400,948,959,959,976,0,0
eniq_oss_1,INC4_NR_D,2026,5,8,86400,926,954,958,968,0,0
eniq_oss_1,INC4_NR_D,2026,5,9,86400,1020,1058,1005,1047,0,0
eniq_oss_1,INC4_NR_D,2026,5,10,86400,1005,1033,1009,1033,0,0
eniq_oss_1,INC4_NR_D,2026,5,11,86400,996,1034,1003,1023,0,0
eniq_oss_1,INC4_NR_D,2026,5,12,86400,944,961,917,956,0,0
eniq_oss_1,INC4_NR_D,2026,5,13,86400,985,1004,969,983,0,0
eniq_oss_1,INC4_NR_D,2026,5,14,86400,1033,1050,1015,1037,0,0
eniq_oss_1,INC4_NR_D,2026,5,15,86400,934,945,915,927,0,0
eniq_oss_1,INC4_NR_D,2026,5,16,86400,957,972,974,990,0,0
eniq_oss_1,INC4_NR_D,2026,5,17,86400,967,988,949,973,0,0
eniq_oss_1,INC4_NR_D,2026,5,18,86400,980,992,968,982,0,0
eniq_oss_1,INC4_NR_D,2026,5,19,86400,997,1012,1009,1026,0,0
eniq_oss_1,INC4_NR_D,2026,5,20,86400,996,1037,995,1036,0,0
eniq_oss_1,INC4_NR_D,2026,5,21,86400,921,945,925,961,0,0
eniq_oss_1,INC4_NR_D,2026,5,22,86400,941,973,948,987,0,0
eniq_oss_1,INC4_NR_D,2026,5,23,86400,916,946,931,949,0,0
eniq_oss_1,INC4_NR_D,2026,5,24,86400,1008,1019,1001,1034,0,0
eniq_oss_1,INC4_NR_D,2026,5,25,86400,959,986,971,992,0,0
eniq_oss_1,INC4_NR_D,2026,5,26,86400,1011,1041,1021,1041,0,0
eniq_oss_1,INC4_NR_D,2026,5,27,86400,978,992,994,1008,0,0
eniq_oss_1,INC4_NR_D,2026,5,28,86400,1007,1024,1018,1037,0,0
eniq_oss_1,INC4_NR_D,2026,5,29,86400,942,970,943,970,0,0
eniq_oss_1,INC4_NR_D,2026,5,30,86400,970,1002,977,1003,0,0
eniq_oss_1,INC4_NR_D,2026,5,31,86400,914,948,935,948,0,0
eniq_oss_1,INC4_NR_D,2026,6,1,86400,982,1015,1001,1024,0,0
